Sample_ID,Pathogen_Name,Pathogen_Type,Temperature (°C),pH,BOD (mg/L),Dissolved_Oxygen (mg/L),ORP (mV),Salinity (‰),Turbidity (NTU),Total_Coliform (MPN/100mL),Fecal_Coliform (MPN/100mL),Severity_Factor (1-10),Contagiousness_Factor (1-10),Outbreak_Factor (1-10)
WQ-38815-WIN,E. coli O157:H7,Bacterial,12.234045823790815,6.6961833538550115,4.599051549073296,0.33927900660005367,-93.03790916878839,2.131399196413545,18.707381801245184,4307.539924063149,1251.2500762170087,7.0,7.0,10.0
WQ-43363-SUM,Vibrio cholerae,Bacterial,31.678593954473907,7.928010792637875,9.726221062677771,0.775927696187907,-4.69730414272412,18.93768307548591,34.13181453771715,5484.699320415881,1162.7915441449813,8.0,7.0,10.0
WQ-78297-SUM,E. coli O157:H7,Bacterial,37.093264725366296,4.694731244431048,4.524490202959417,2.8055610918289937,161.5492272415556,0.17566320792888782,11.045638442262526,17569.97458477824,6042.65781126246,7.0,7.0,10.0
WQ-97737-MON,Vibrio cholerae,Bacterial,18.990472718370473,4.199822125930504,6.807675710173339,1.5345341984398957,71.50727957399522,14.453118901246695,259.4596368902443,33838.87107270443,34519.08717905411,8.0,7.0,7.768690712338705
WQ-27072-POS,Plasmodium falciparum,Parasitic,22.92656229146766,7.374173014361893,6.4460374788347625,6.015353097478591,-44.35152155894822,1.5434849937929855,19.099651804672337,717.3275381388513,0.0,9.0,9.0,7.010155300588124
WQ-90102-POS,Norovirus,Viral,14.371995430135291,9.025619512169705,2.7958087097450264,1.2097785844918714,18.63243233242642,1.8056631321273635,9.140692209634414,5037.317282782752,1460.4601766284109,7.0,9.0,9.048692465135622
WQ-23679-POS,Norovirus,Viral,31.862955641938736,2.2601789134466252,1.4058299456591128,2.310001922287836,200.1109903562155,1.7845061216532807,6.768541936161488,1266.285467874191,1317.9866465957675,7.0,9.0,7.9238893962663255
WQ-78742-WIN,E. coli O157:H7,Bacterial,26.991428089699884,6.875149097569053,3.7346721257910853,0.11729553059677617,184.6940271165219,2.8470237079942287,7.534595954399739,4320.512276812385,4317.30981967384,7.0,7.0,8.45320494404557
WQ-65218-MON,Norovirus,Viral,57.716451425973474,7.308707617466722,1.0013729173577495,0.9235467225678791,112.7378967052212,2.4208916052739156,5.8924509319557,5234.436800602036,1107.2729717414136,7.0,9.0,7.902600390822591
WQ-96111-WIN,E. coli O157:H7,Bacterial,12.591582871834966,4.641036224228086,2.3490052578837997,0.5875218762257667,-42.56755834899627,2.5587147680829045,14.631126211241991,3231.0663855381763,5206.314451780983,7.0,7.0,10.0
WQ-26062-WIN,Salmonella typhi,Bacterial,18.135877004448908,7.238789089914627,8.966231199752004,1.9777935806497375,257.1511526665177,0.28034010615889093,17.085217041565716,7998.708885722524,677.744801652688,7.0,8.0,7.456916068847272
